0,3609
0,3737
0,5712
0,5767
0,6784
0,6837
0,7415
0,9771
0,16745
1,14121
1,15473
1,15722
2,4565
2,5508
2,5670
2,11348
2,19241
2,19705
3,4986
3,7017
3,7380
3,8010
3,18301
3,19527
4,8372
4,11111
4,19686
5,12176
5,14901
5,16250
5,18519
6,3202
6,6128
6,6273
6,11041
7,303
7,877
7,4490
7,12651
8,1738
8,12383
8,15125
8,17914
8,18316
8,19424
9,8496
9,11565
9,13056
9,14284
9,16375
9,18170
10,7695
10,7908
10,15719
10,15961
10,16051
10,19206
11,10022
11,11639
11,12769
11,19470
14,5472
14,5574
14,6306
14,6472
14,10204
14,11458
14,12980
14,18991
15,4942
15,5816
15,8238
15,9058
15,16641
15,16956
15,18189
16,809
16,2426
16,7322
16,7622
16,8364
16,11310
16,13510
16,18905
17,529
17,6849
17,7206
17,7814
17,9725
17,14714
17,16149
19,7654
19,11859
20,514
20,5690
20,6402
20,16719
20,16745
21,5786
21,6834
21,9725
21,15541
21,17548
21,18279
22,5414
22,5757
22,5830
22,6379
22,10249
22,14952
23,305
23,378
23,3333
23,3591
23,10027
23,11003
23,14618
23,15587
24,2137
24,2416
24,4669
24,5566
24,7975
24,17551
25,591
25,2387
25,5925
25,14089
26,186
26,8040
26,16345
26,18823
26,19816
27,5983
27,8183
27,8529
27,8913
27,9546
27,11659
28,1113
28,3970
28,4582
28,9099
28,12391
28,19058
29,12014
29,13473
29,16537
29,17601
29,18120
30,328
30,2638
30,6165
30,8844
30,13998
30,17589
31,2585
31,4095
31,4945
31,9147
31,12872
31,13878
31,14086
31,14576
31,17240
31,19177
31,19416
32,1060
32,4579
32,5693
32,10143
32,16768
32,17172
32,19861
33,1952
33,2344
33,9992
33,10318
33,18715
33,19589
34,1044
34,4651
34,11065
34,17831
35,966
35,3351
36,5846
36,6945
36,8110
36,10569
36,12354
36,13237
36,15630
37,4782
37,4945
37,11473
37,12611
37,14139
37,15763
37,19031
38,2961
38,14235
38,19897
39,859
39,2060
39,6924
39,7975
39,12162
39,16819
40,877
40,7926
40,10488
40,10580
40,13354
40,18342
40,18859
41,731
41,5249
41,13794
41,14810
41,18618
41,19450
42,1259
42,7374
42,7537
42,7927
42,8553
42,9215
43,7368
43,8908
43,10942
43,12394
44,1488
44,9816
44,10233
44,16245
45,5624
45,5769
45,9627
46,2457
46,14924
46,17821
46,18680
46,18978
46,19921
47,6692
47,16662
47,17532
48,585
48,7131
48,7395
48,10939
48,16222
48,16692
48,17441
49,797
49,12500
49,17161
49,18164
50,311
50,519
50,1842
50,2294
50,3583
50,7368
50,7433
50,8908
50,13884
50,14789
51,12195
51,13029
52,192
52,1657
52,3315
52,8520
52,8631
52,13657
52,13823
52,16814
52,19247
53,9742
53,16975
53,17710
53,18587
54,6781
54,8258
54,11354
55,10272
55,13172
56,3965
56,4629
57,8071
57,18147
57,18947
58,250
58,479
58,1110
58,2446
58,7057
58,7351
58,8539
58,10587
59,2851
59,3866
59,7066
59,8592
59,11976
59,12379
59,12407
59,12872
59,14442
59,17290
59,19010
60,3914
60,6578
60,9112
60,10735
60,11051
60,16633
60,19813
61,349
61,2240
61,3332
61,4052
61,5569
61,5900
61,6486
61,9797
61,13796
61,14832
61,17522
62,2209
62,3091
62,3117
62,7311
62,8008
62,9133
62,15970
63,95
63,237
63,3216
63,3768
63,7479
63,8809
63,11688
63,13624
63,13748
64,3425
64,7829
64,15210
64,15709
64,15760
65,7510
65,12661
65,13772
65,14293
66,4959
66,9506
66,9530
66,9821
66,10513
67,8382
67,8529
67,12564
67,12730
67,15022
67,17924
67,19365
68,5873
68,7640
68,8066
68,12713
68,16689
68,17853
68,18136
68,19131
68,19368
69,3582
70,1212
70,1941
70,4416
70,8712
70,12863
70,16059
70,17266
71,828
71,1948
71,8215
71,14133
72,2898
72,7521
72,11602
72,16109
72,16650
72,18387
73,3625
73,5788
73,11322
73,12295
73,14032
73,14460
74,3055
74,14150
74,14344
74,19009
75,3837
75,6136
75,9673
75,19049
76,2132
76,6953
76,18239
78,6752
78,19644
79,1036
79,7540
79,14886
79,18065
80,647
80,2716
80,9023
80,9296
80,11164
81,1828
81,5700
81,6376
81,6529
81,12134
81,12998
81,14534
81,16745
81,19262
82,2641
82,13713
82,18427
83,1037
83,2102
83,6572
83,6994
83,12979
83,14823
84,2395
84,4776
84,7516
84,14697
84,15944
84,16780
85,3213
85,7216
85,10463
85,18691
86,13642
86,17964
87,5003
87,12892
88,811
88,6760
88,11614
88,11931
